Food,Protein,Fat,Carbs,Calories,Exercise Recommendation
Rice,40.0,24.0,21.6,406.8,Go for a 30-minute run
Carrot,47.4,7.2,5.7,398.6,Go for a 30-minute run
Beef,25.0,12.9,24.9,150.1,Do 30 minutes of cycling
Beef,2.3,27.6,17.0,84.5,No exercise needed
Potato,32.0,16.9,23.1,154.1,Do 30 minutes of cycling
Yogurt,13.2,28.3,43.4,54.8,No exercise needed
Rice,45.4,14.6,33.3,218.2,Go for a 30-minute run
Broccoli,43.7,8.9,40.2,284.1,Go for a 30-minute run
Yogurt,21.7,4.6,6.9,315.1,Go for a 30-minute run
Oats,21.2,17.4,9.8,250.7,Go for a 30-minute run
Apple,1.7,3.9,2.8,184.2,Do 30 minutes of cycling
Turkey,25.5,4.4,38.4,278.4,Go for a 30-minute run
Chicken Breast,17.5,15.2,42.7,306.9,Go for a 30-minute run
Carrot,25.2,23.5,34.0,392.3,Go for a 30-minute run
Spinach,16.7,4.8,20.7,402.2,Go for a 30-minute run
Yogurt,7.6,28.4,47.6,456.9,Go for a 30-minute run
Tomato,6.5,24.6,35.2,270.5,Go for a 30-minute run
Yogurt,48.4,5.0,5.6,480.7,Go for a 30-minute run
Carrot,22.2,18.2,6.7,144.0,Go for a 30-minute walk
Spinach,41.6,18.1,21.9,321.8,Go for a 30-minute run
Banana,36.7,6.7,14.9,286.5,Go for a 30-minute run
Carrot,38.7,23.7,36.1,76.0,No exercise needed
Spinach,48.9,12.3,15.9,88.3,No exercise needed
Potato,18.7,25.8,14.0,108.5,Go for a 30-minute walk
Salmon,31.9,2.8,16.3,161.7,Do 30 minutes of cycling
Turkey,6.8,27.1,45.7,69.5,No exercise needed
Chicken Breast,27.8,15.3,45.1,314.5,Go for a 30-minute run
Chicken Breast,43.0,24.7,43.9,44.2,No exercise needed
Tofu,26.7,19.7,11.1,155.1,Do 30 minutes of cycling
Banana,38.3,25.0,33.3,35.0,No exercise needed
Rice,4.0,8.6,13.6,303.4,Go for a 30-minute run
Oats,26.4,12.8,47.2,467.5,Go for a 30-minute run
Salmon,16.9,1.4,6.6,340.4,Go for a 30-minute run
Salmon,47.0,6.8,20.6,106.6,Go for a 30-minute walk
Salmon,19.0,15.3,40.2,183.3,Do 30 minutes of cycling
Chicken Breast,5.2,9.5,6.5,142.5,Go for a 30-minute walk
Spinach,20.3,12.3,9.5,60.4,No exercise needed
Yogurt,32.0,26.6,15.3,31.1,No exercise needed
Yogurt,4.8,2.0,26.8,58.0,No exercise needed
Tofu,47.1,11.8,21.4,166.7,Do 30 minutes of cycling
Spinach,13.4,29.2,39.5,70.6,No exercise needed
Egg,43.7,18.2,44.8,418.2,Go for a 30-minute run
Chicken Breast,48.7,2.0,3.4,411.7,Go for a 30-minute run
Apple,24.2,1.8,41.1,457.3,Go for a 30-minute run
Broccoli,17.3,21.9,38.4,431.5,Go for a 30-minute run
Carrot,2.4,25.3,25.1,398.5,Go for a 30-minute run
Tofu,10.4,3.4,22.4,263.8,Go for a 30-minute run
Turkey,18.3,3.0,4.8,38.5,No exercise needed
Oats,45.8,9.7,13.8,145.5,Go for a 30-minute walk
Yogurt,22.7,0.9,28.4,236.3,Go for a 30-minute run
Turkey,8.6,7.1,16.9,381.9,Go for a 30-minute run
Carrot,10.8,28.3,4.8,204.1,Go for a 30-minute run
Spinach,5.6,2.4,45.7,452.7,Go for a 30-minute run
Tomato,41.0,11.1,15.6,225.9,Go for a 30-minute run
Spinach,46.9,25.9,13.3,212.0,Go for a 30-minute run
Carrot,27.0,5.6,1.7,283.3,Go for a 30-minute run
Rice,13.8,10.6,12.0,412.1,Go for a 30-minute run
Tofu,1.9,4.2,49.5,67.0,No exercise needed
Chicken Breast,49.7,26.6,19.2,431.7,Go for a 30-minute run
Almonds,32.1,13.3,2.4,359.1,Go for a 30-minute run
Beef,37.3,18.7,9.2,342.5,Go for a 30-minute run
Banana,3.4,18.1,5.2,493.5,Go for a 30-minute run
Turkey,20.4,14.1,32.9,91.9,No exercise needed
Avocado,49.2,5.7,28.2,422.5,Go for a 30-minute run
Chicken Breast,30.3,7.9,11.8,211.9,Go for a 30-minute run
Avocado,8.7,6.4,24.1,92.5,No exercise needed
Banana,47.8,26.1,46.7,354.3,Go for a 30-minute run
Yogurt,17.3,15.8,36.9,485.2,Go for a 30-minute run
Apple,22.2,27.2,28.9,145.2,Go for a 30-minute walk
Yogurt,42.3,18.5,9.1,403.9,Go for a 30-minute run
Chicken Breast,43.4,20.2,4.4,414.7,Go for a 30-minute run
Spinach,2.5,23.5,5.0,464.5,Go for a 30-minute run
Carrot,35.1,19.0,5.7,454.9,Go for a 30-minute run
Banana,18.7,28.3,47.8,266.2,Go for a 30-minute run
Potato,48.6,12.3,13.6,93.6,No exercise needed
Yogurt,25.4,19.5,33.1,58.7,No exercise needed
Spinach,21.8,26.0,5.8,214.4,Go for a 30-minute run
Salmon,4.1,14.5,17.8,447.6,Go for a 30-minute run
Spinach,5.4,7.1,32.2,118.5,Go for a 30-minute walk
Carrot,26.8,25.0,13.0,124.2,Go for a 30-minute walk
Yogurt,44.2,27.3,1.3,151.1,Do 30 minutes of cycling
Yogurt,9.6,2.3,17.9,352.8,Go for a 30-minute run
Avocado,48.5,19.7,42.5,153.1,Do 30 minutes of cycling
Oats,8.2,5.1,31.4,417.6,Go for a 30-minute run
Egg,11.5,1.9,19.1,406.5,Go for a 30-minute run
Chicken Breast,45.7,17.8,5.5,154.2,Do 30 minutes of cycling
Beef,26.5,0.9,38.3,161.2,Do 30 minutes of cycling
Potato,21.0,14.0,45.7,76.6,No exercise needed
Salmon,33.5,20.8,17.3,370.3,Go for a 30-minute run
Yogurt,9.7,9.7,31.3,279.8,Go for a 30-minute run
Egg,6.9,12.3,41.9,107.3,Go for a 30-minute walk
Salmon,4.9,20.5,24.1,337.1,Go for a 30-minute run
Potato,38.4,11.2,16.3,189.9,Do 30 minutes of cycling
Tofu,18.3,25.6,23.3,276.5,Go for a 30-minute run
Banana,34.3,0.8,14.7,393.2,Go for a 30-minute run
Beef,46.6,9.6,16.0,442.6,Go for a 30-minute run
Avocado,37.2,11.8,7.2,48.2,No exercise needed
Almonds,39.3,25.6,43.5,372.9,Go for a 30-minute run
Carrot,33.4,7.6,10.2,113.4,Go for a 30-minute walk
Tomato,46.4,13.2,49.9,380.6,Go for a 30-minute run
Beef,33.5,8.5,30.9,456.4,Go for a 30-minute run
Carrot,13.1,2.9,28.6,365.2,Go for a 30-minute run
Tomato,5.4,16.8,43.9,228.1,Go for a 30-minute run
Broccoli,6.9,3.0,35.8,249.1,Go for a 30-minute run
Potato,46.2,14.2,12.4,85.8,No exercise needed
Egg,47.7,16.9,38.7,169.9,Do 30 minutes of cycling
Broccoli,34.3,10.0,44.7,183.3,Do 30 minutes of cycling
Egg,20.5,13.5,16.3,446.7,Go for a 30-minute run
Tofu,20.8,27.0,26.7,402.4,Go for a 30-minute run
Beef,49.1,19.0,28.3,173.1,Do 30 minutes of cycling
Banana,24.5,7.8,8.9,111.4,Go for a 30-minute walk
Potato,20.8,5.1,26.7,110.0,Go for a 30-minute walk
Apple,5.0,16.0,2.2,461.0,Go for a 30-minute run
Banana,1.7,22.2,17.3,54.6,No exercise needed
Spinach,33.7,18.5,28.7,242.3,Go for a 30-minute run
Tomato,11.8,8.5,41.3,33.1,No exercise needed
Tomato,40.3,3.4,38.7,50.8,No exercise needed
Beef,27.3,9.7,35.2,463.5,Go for a 30-minute run
Oats,39.3,23.8,28.1,438.1,Go for a 30-minute run
Banana,27.5,13.7,3.1,352.7,Go for a 30-minute run
Egg,29.8,22.1,7.6,189.6,Do 30 minutes of cycling
Chicken Breast,45.9,25.9,18.2,40.4,No exercise needed
Oats,27.2,15.2,15.7,91.2,No exercise needed
Turkey,43.4,3.5,30.9,40.2,No exercise needed
Apple,45.9,5.2,0.2,55.1,No exercise needed
Turkey,35.6,18.9,7.5,227.5,Go for a 30-minute run
Carrot,47.0,10.0,14.1,193.6,Do 30 minutes of cycling
Tomato,45.2,26.2,12.9,98.1,No exercise needed
Tomato,32.6,25.4,13.8,326.3,Go for a 30-minute run
Banana,47.3,18.1,33.5,245.9,Go for a 30-minute run
Salmon,16.6,26.5,19.3,341.8,Go for a 30-minute run
Almonds,49.6,27.7,32.0,191.2,Do 30 minutes of cycling
Almonds,40.3,14.7,4.4,311.9,Go for a 30-minute run
Yogurt,39.8,5.9,13.7,173.2,Do 30 minutes of cycling
Banana,10.9,1.9,19.5,222.2,Go for a 30-minute run
Potato,37.9,6.7,18.0,274.0,Go for a 30-minute run
Almonds,0.3,13.8,9.5,251.4,Go for a 30-minute run
Banana,29.9,28.7,43.9,276.3,Go for a 30-minute run
Potato,22.7,10.5,27.5,178.6,Do 30 minutes of cycling
Avocado,24.6,2.3,41.4,324.8,Go for a 30-minute run
Tofu,36.3,8.8,49.9,288.5,Go for a 30-minute run
Rice,5.2,21.5,3.2,412.1,Go for a 30-minute run
Carrot,5.6,21.3,35.8,149.9,Go for a 30-minute walk
Spinach,34.6,2.1,3.4,426.5,Go for a 30-minute run
Apple,27.0,0.4,9.2,367.2,Go for a 30-minute run
Oats,44.2,15.8,40.0,305.0,Go for a 30-minute run
Carrot,49.4,15.3,46.0,334.1,Go for a 30-minute run
Avocado,40.3,11.2,31.3,41.5,No exercise needed
Beef,19.2,9.8,38.0,426.6,Go for a 30-minute run
Banana,39.4,26.1,29.7,110.5,Go for a 30-minute walk
Rice,20.3,26.5,48.8,41.7,No exercise needed
Tomato,48.2,14.6,16.3,402.9,Go for a 30-minute run
Tomato,18.0,26.9,43.0,137.4,Go for a 30-minute walk
Potato,36.9,19.8,46.2,298.7,Go for a 30-minute run
Avocado,43.6,11.1,31.1,306.2,Go for a 30-minute run
Tomato,20.9,16.0,13.5,56.7,No exercise needed
Broccoli,4.1,16.3,13.1,384.8,Go for a 30-minute run
Salmon,22.8,20.6,19.8,452.6,Go for a 30-minute run
Apple,36.9,8.5,28.6,70.3,No exercise needed
Tofu,28.2,2.5,10.4,199.9,Do 30 minutes of cycling
Turkey,25.4,25.1,48.6,324.3,Go for a 30-minute run
Apple,33.8,25.1,23.9,275.6,Go for a 30-minute run
Avocado,16.9,4.6,45.8,282.3,Go for a 30-minute run
Beef,24.2,13.3,18.1,177.1,Do 30 minutes of cycling
Egg,6.5,21.8,21.7,261.7,Go for a 30-minute run
Chicken Breast,11.5,10.5,33.2,50.9,No exercise needed
Apple,30.7,7.7,48.3,245.3,Go for a 30-minute run
Apple,38.9,11.4,19.0,419.2,Go for a 30-minute run
Egg,14.5,1.2,1.3,331.2,Go for a 30-minute run
Chicken Breast,14.2,13.0,39.0,155.0,Do 30 minutes of cycling
Yogurt,37.0,26.2,17.3,257.6,Go for a 30-minute run
Oats,10.0,4.6,42.8,487.4,Go for a 30-minute run
Beef,42.6,20.4,28.9,368.6,Go for a 30-minute run
Beef,30.5,23.6,15.4,469.7,Go for a 30-minute run
Tofu,6.0,15.8,14.8,37.6,No exercise needed
Banana,44.0,6.3,4.3,333.1,Go for a 30-minute run
Chicken Breast,32.1,5.9,41.5,43.7,No exercise needed
Avocado,34.7,12.7,47.7,65.0,No exercise needed
Tofu,46.8,18.4,20.5,257.2,Go for a 30-minute run
Salmon,21.8,19.3,40.1,339.2,Go for a 30-minute run
Banana,6.6,18.4,7.0,378.9,Go for a 30-minute run
Carrot,3.1,9.7,36.1,168.9,Do 30 minutes of cycling
Rice,34.2,17.3,42.8,271.5,Go for a 30-minute run
Avocado,37.3,16.5,43.2,223.9,Go for a 30-minute run
Chicken Breast,6.7,20.9,32.7,167.9,Do 30 minutes of cycling
Tomato,0.3,4.8,21.4,158.9,Do 30 minutes of cycling
Rice,1.1,18.4,38.9,189.3,Do 30 minutes of cycling
Almonds,46.7,21.2,7.5,61.3,No exercise needed
Beef,47.2,7.8,35.4,213.6,Go for a 30-minute run
Yogurt,34.2,17.0,23.2,65.4,No exercise needed
Spinach,39.0,14.2,47.7,208.9,Go for a 30-minute run
Salmon,38.3,20.5,10.8,356.7,Go for a 30-minute run
Salmon,31.8,3.1,3.4,468.4,Go for a 30-minute run
Beef,34.3,12.7,33.7,400.0,Go for a 30-minute run
Apple,8.3,6.7,26.6,273.5,Go for a 30-minute run
Salmon,24.5,17.0,6.2,382.3,Go for a 30-minute run
Carrot,4.6,16.9,18.1,348.7,Go for a 30-minute run
Avocado,18.0,6.8,22.6,210.0,Go for a 30-minute run
Tofu,20.2,11.9,29.3,347.9,Go for a 30-minute run
Potato,28.6,8.3,2.2,189.1,Do 30 minutes of cycling
Banana,20.7,3.2,23.5,169.0,Do 30 minutes of cycling
Tofu,19.3,17.9,18.5,291.0,Go for a 30-minute run
Spinach,46.7,20.5,40.3,293.8,Go for a 30-minute run
Salmon,44.0,11.8,13.9,399.6,Go for a 30-minute run
Rice,19.7,18.4,18.4,422.0,Go for a 30-minute run
Almonds,26.3,0.9,33.2,463.4,Go for a 30-minute run
Banana,36.6,9.5,17.1,296.1,Go for a 30-minute run
Turkey,15.2,18.5,18.2,194.8,Do 30 minutes of cycling
Beef,16.8,4.9,7.2,273.3,Go for a 30-minute run
Chicken Breast,37.5,24.2,42.3,182.4,Do 30 minutes of cycling
Apple,16.3,6.0,43.8,284.1,Go for a 30-minute run
Yogurt,37.3,11.6,13.8,488.5,Go for a 30-minute run
Tomato,7.7,21.8,16.7,465.5,Go for a 30-minute run
Broccoli,40.3,11.9,47.5,427.3,Go for a 30-minute run
Broccoli,34.5,22.9,13.1,172.9,Do 30 minutes of cycling
Oats,12.1,19.8,44.3,226.2,Go for a 30-minute run
Beef,15.6,19.7,23.4,121.1,Go for a 30-minute walk
Avocado,10.3,20.5,24.4,211.1,Go for a 30-minute run
Avocado,4.4,27.0,19.2,367.1,Go for a 30-minute run
Egg,12.1,23.2,11.2,348.3,Go for a 30-minute run
Tomato,36.7,23.8,28.8,223.7,Go for a 30-minute run
Oats,12.0,24.1,12.2,73.3,No exercise needed
Beef,38.3,5.7,3.7,50.0,No exercise needed
Rice,28.8,25.4,29.7,326.0,Go for a 30-minute run
Potato,37.0,19.2,32.9,142.9,Go for a 30-minute walk
Spinach,23.8,11.1,45.7,463.1,Go for a 30-minute run
Yogurt,43.4,10.3,0.4,160.1,Do 30 minutes of cycling
Broccoli,39.6,26.1,42.1,433.8,Go for a 30-minute run
Tomato,27.5,27.6,37.3,394.0,Go for a 30-minute run
Banana,10.7,19.9,47.5,278.1,Go for a 30-minute run
Tofu,32.6,4.0,41.8,129.5,Go for a 30-minute walk
Salmon,32.5,26.3,35.3,265.8,Go for a 30-minute run
Avocado,44.3,2.8,19.3,92.4,No exercise needed
Avocado,25.9,13.5,22.2,365.0,Go for a 30-minute run
Chicken Breast,12.1,9.4,39.2,440.3,Go for a 30-minute run
Salmon,6.5,30.0,1.8,319.6,Go for a 30-minute run
Tomato,7.9,11.6,30.1,412.6,Go for a 30-minute run
Chicken Breast,18.1,14.8,46.5,188.8,Do 30 minutes of cycling
Broccoli,15.4,10.6,34.6,91.8,No exercise needed
Salmon,24.5,18.9,46.8,318.1,Go for a 30-minute run
Egg,7.8,28.6,44.3,249.3,Go for a 30-minute run
Spinach,7.2,4.1,32.5,312.1,Go for a 30-minute run
Broccoli,1.3,26.4,33.9,227.1,Go for a 30-minute run
Chicken Breast,35.9,11.4,30.7,438.6,Go for a 30-minute run
Banana,30.9,0.8,19.5,383.2,Go for a 30-minute run
Chicken Breast,12.5,2.4,24.9,331.8,Go for a 30-minute run
Banana,15.2,12.2,36.9,355.4,Go for a 30-minute run
Turkey,38.0,14.9,33.7,431.7,Go for a 30-minute run
Oats,24.7,13.6,13.5,259.9,Go for a 30-minute run
Tomato,34.6,9.8,32.7,86.6,No exercise needed
Yogurt,4.6,2.5,27.9,430.1,Go for a 30-minute run
Banana,26.5,1.2,9.7,203.1,Go for a 30-minute run
Spinach,32.3,19.2,48.7,330.6,Go for a 30-minute run
Tofu,12.8,28.6,20.6,482.1,Go for a 30-minute run
Carrot,14.9,0.1,22.2,272.8,Go for a 30-minute run
Oats,40.6,9.7,36.1,448.4,Go for a 30-minute run
Tofu,8.6,27.2,34.4,89.6,No exercise needed
Apple,26.5,15.1,13.2,308.8,Go for a 30-minute run
Broccoli,30.8,25.6,27.4,129.7,Go for a 30-minute walk
Tomato,7.1,11.8,32.9,71.5,No exercise needed
Egg,39.6,21.3,15.0,172.4,Do 30 minutes of cycling
Chicken Breast,26.1,16.4,28.2,482.0,Go for a 30-minute run
Spinach,30.6,29.2,27.3,104.2,Go for a 30-minute walk
Apple,19.8,5.6,37.6,222.9,Go for a 30-minute run
Turkey,39.2,25.9,12.5,68.0,No exercise needed
Tomato,35.6,7.0,25.5,298.2,Go for a 30-minute run
Rice,37.1,15.6,48.5,164.6,Do 30 minutes of cycling
Chicken Breast,18.7,10.8,29.6,80.1,No exercise needed
Almonds,12.9,23.7,13.7,188.1,Do 30 minutes of cycling
Carrot,47.7,4.9,23.2,177.7,Do 30 minutes of cycling
Broccoli,29.4,7.3,46.6,255.5,Go for a 30-minute run
Beef,24.3,15.4,5.6,288.2,Go for a 30-minute run
Avocado,39.3,9.2,25.3,147.7,Go for a 30-minute walk
Banana,45.1,4.6,12.9,283.7,Go for a 30-minute run
Rice,1.0,14.4,45.0,235.7,Go for a 30-minute run
Yogurt,17.2,11.0,4.1,212.2,Go for a 30-minute run
Oats,3.7,17.1,28.0,167.0,Do 30 minutes of cycling
Apple,12.1,0.9,26.4,335.4,Go for a 30-minute run
Salmon,44.0,19.0,33.7,284.7,Go for a 30-minute run
Tomato,5.5,14.6,13.0,384.1,Go for a 30-minute run
Tomato,20.5,5.7,25.3,360.9,Go for a 30-minute run
Oats,38.9,8.8,24.1,204.5,Go for a 30-minute run
Yogurt,29.7,1.8,49.6,473.9,Go for a 30-minute run
Broccoli,39.8,8.2,40.1,440.3,Go for a 30-minute run
Broccoli,41.7,0.6,32.9,65.4,No exercise needed
Rice,14.4,28.1,30.1,205.7,Go for a 30-minute run
Salmon,10.5,13.0,20.9,288.6,Go for a 30-minute run
Salmon,41.6,0.2,2.4,333.2,Go for a 30-minute run
Spinach,23.5,29.6,18.1,409.0,Go for a 30-minute run
Turkey,38.9,11.7,4.5,117.7,Go for a 30-minute walk
Salmon,44.1,9.5,37.5,91.9,No exercise needed
Almonds,20.7,5.7,1.3,93.2,No exercise needed
Carrot,25.4,10.8,30.9,467.5,Go for a 30-minute run
Rice,10.2,5.8,8.8,152.5,Do 30 minutes of cycling
Banana,42.1,8.2,46.1,437.0,Go for a 30-minute run
Turkey,33.2,16.6,26.7,149.1,Go for a 30-minute walk
Oats,26.7,29.3,38.2,440.9,Go for a 30-minute run
Rice,15.2,8.4,32.8,380.0,Go for a 30-minute run
Yogurt,17.0,20.4,13.3,170.5,Do 30 minutes of cycling
Beef,22.1,4.1,11.3,183.0,Do 30 minutes of cycling
Broccoli,15.0,22.2,31.7,48.5,No exercise needed
Yogurt,7.2,3.1,20.7,296.1,Go for a 30-minute run
Chicken Breast,39.4,18.5,9.8,237.6,Go for a 30-minute run
Banana,26.8,2.8,43.3,468.3,Go for a 30-minute run
Tofu,40.1,7.3,26.5,444.1,Go for a 30-minute run
Avocado,24.5,1.5,6.2,305.7,Go for a 30-minute run
Avocado,32.0,0.8,42.7,431.0,Go for a 30-minute run
Potato,32.1,27.5,38.6,472.3,Go for a 30-minute run
Tofu,8.7,28.3,11.0,443.5,Go for a 30-minute run
Almonds,9.0,11.1,32.4,104.1,Go for a 30-minute walk
Turkey,32.5,22.6,2.1,432.0,Go for a 30-minute run
Potato,31.1,24.7,36.1,460.6,Go for a 30-minute run
Tofu,49.8,27.5,49.5,251.4,Go for a 30-minute run
Chicken Breast,48.9,12.1,47.0,405.1,Go for a 30-minute run
Banana,18.2,13.2,11.3,474.0,Go for a 30-minute run
Beef,14.9,7.3,2.3,151.7,Do 30 minutes of cycling
Turkey,46.5,25.0,20.5,220.5,Go for a 30-minute run
Tofu,48.6,24.5,37.2,419.1,Go for a 30-minute run
Banana,48.5,28.1,18.0,492.2,Go for a 30-minute run
Yogurt,25.8,20.2,5.2,208.8,Go for a 30-minute run
Spinach,47.9,8.9,14.4,226.9,Go for a 30-minute run
Almonds,3.8,13.4,43.0,476.9,Go for a 30-minute run
Apple,29.1,0.7,41.5,88.3,No exercise needed
Tofu,33.8,7.7,14.5,406.4,Go for a 30-minute run
Beef,11.5,6.3,40.2,204.2,Go for a 30-minute run
Carrot,0.6,6.3,8.2,397.5,Go for a 30-minute run
Chicken Breast,22.0,22.6,22.1,422.6,Go for a 30-minute run
Turkey,26.1,18.3,23.3,424.8,Go for a 30-minute run
Avocado,31.3,26.6,19.9,496.3,Go for a 30-minute run
Tofu,8.8,13.6,2.4,193.5,Do 30 minutes of cycling
Spinach,27.7,16.5,21.1,400.3,Go for a 30-minute run
Apple,19.6,4.7,5.0,81.3,No exercise needed
